Year,Month,Arrivals
1992,Jan,17451
1992,Feb,27489
1992,Mar,31505
1992,Apr,30682
1992,May,29089
1992,Jun,22469
1992,Jul,20942
1992,Aug,27338
1992,Sep,24839
1992,Oct,42647
1992,Nov,32341
1992,Dec,27561
1993,Jan,19238
1993,Feb,23931
1993,Mar,30818
1993,Apr,20121
1993,May,20585
1993,Jun,19602
1993,Jul,13588
1993,Aug,21583
1993,Sep,23939
1993,Oct,42242
1993,Nov,30378
1993,Dec,27542
1994,Jan,21735
1994,Feb,24872
1994,Mar,31586
1994,Apr,27292
1994,May,26232
1994,Jun,22907
1994,Jul,19739
1994,Aug,27610
1994,Sep,27959
1994,Oct,39393
1994,Nov,28008
1994,Dec,29198
1995,Jan,22207
1995,Feb,28240
1995,Mar,34219
1995,Apr,33994
1995,May,27843
1995,Jun,25650
1995,Jul,23980
1995,Aug,27686
1995,Sep,30569
1995,Oct,46845
1995,Nov,35782
1995,Dec,26380
1996,Jan,27886
1996,Feb,29676
1996,Mar,39336
1996,Apr,36331
1996,May,29728
1996,Jun,26749
1996,Jul,22684
1996,Aug,29080
1996,Sep,32181
1996,Oct,47314
1996,Nov,37650
1996,Dec,34998
1997,Jan,25585
1997,Feb,32861
1997,Mar,43177
1997,Apr,35229
1997,May,33456
1997,Jun,26367
1997,Jul,26091
1997,Aug,35549
1997,Sep,31981
1997,Oct,56272
1997,Nov,40173
1997,Dec,35116
1998,Jan,28822
1998,Feb,37956
1998,Mar,41338
1998,Apr,41087
1998,May,35814
1998,Jun,29181
1998,Jul,27895
1998,Aug,36174
1998,Sep,39664
1998,Oct,62487
1998,Nov,47403
1998,Dec,35863
1999,Jan,29752
1999,Feb,38134
1999,Mar,46218
1999,Apr,40774
1999,May,42712
1999,Jun,31049
1999,Jul,27193
1999,Aug,38449
1999,Sep,44117
1999,Oct,66543
1999,Nov,48865
1999,Dec,37698
2000,Jan,25307
2000,Feb,38959
2000,Mar,44944
2000,Apr,43635
2000,May,28363
2000,Jun,26933
2000,Jul,24480
2000,Aug,34670
2000,Sep,43523
2000,Oct,59195
2000,Nov,52993
2000,Dec,40644
2001,Jan,30454
2001,Feb,38680
2001,Mar,46709
2001,Apr,39083
2001,May,28345
2001,Jun,13030
2001,Jul,18329
2001,Aug,25322
2001,Sep,31170
2001,Oct,41245
2001,Nov,30282
2001,Dec,18588
2002,Jan,17176
2002,Feb,20668
2002,Mar,28815
2002,Apr,21253
2002,May,19887
2002,Jun,17218
2002,Jul,16621
2002,Aug,21093
2002,Sep,23752
2002,Oct,35272
2002,Nov,28723
2002,Dec,24990
2003,Jan,21215
2003,Feb,24349
2003,Mar,27737
2003,Apr,25851
2003,May,22704
2003,Jun,20351
2003,Jul,22661
2003,Aug,27568
2003,Sep,28724
2003,Oct,45459
2003,Nov,38398
2003,Dec,33115
2004,Jan,30988
2004,Feb,35631
2004,Mar,44290
2004,Apr,33514
2004,May,26802
2004,Jun,19793
2004,Jul,24860
2004,Aug,33162
2004,Sep,25496
2004,Oct,43373
2004,Nov,36381
2004,Dec,31007
2005,Jan,25477
2005,Feb,20338
2005,Mar,29875
2005,Apr,23414
2005,May,25541
2005,Jun,22608
2005,Jul,23996
2005,Aug,36910
2005,Sep,36066
2005,Oct,51498
2005,Nov,41505
2005,Dec,38170
2006,Jan,28769
2006,Feb,25728
2006,Mar,36873
2006,Apr,21983
2006,May,22870
2006,Jun,26210
2006,Jul,25183
2006,Aug,33150
2006,Sep,33362
2006,Oct,49670
2006,Nov,44119
2006,Dec,36009
2007,Jan,33192
2007,Feb,39934
2007,Mar,54722
2007,Apr,40942
2007,May,35854
2007,Jun,31316
